image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
GOOD_KISS_Ver2_072,18,12,6,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,10,8,2,0.5555555524691358,0.833333326388889,0.6666666142222257,0.6434501592017062,0.965175245237061,0.6666666622222223
GakuenNoise_041,9,7,2,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,2,7,5,0.22222221975308645,0.2857142816326531,0.24999994765625974,0.2463064861485892,0.9852259569096811,0.24999999687500005
GakuenNoise_045,22,3,19,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,3,19,0,0.13636363574380164,0.9999999666666678,0.23999997696000136,0.23555847459247037,0.9814936519872424,0.23999999808000003
GarakutayaManta_004,38,22,16,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,16,22,6,0.4210526304709141,0.7272727239669421,0.5333332851111151,14,24,8,0.36842105166204986,0.6363636334710744,0.46666661866667114,0.5188470574407298,0.9728382359441626,0.5333333315555555
GinNoChimera_047,8,3,5,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,2,6,1,0.24999999687500005,0.6666666444444452,0.363636317355376,0.35819341067836175,0.9850318972751655,0.36363635702479347
HanzaiKousyouninMinegishiEitarou_092,22,22,0,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,17,5,5,0.772727269214876,0.772727269214876,0.7727272192148792,14,8,8,0.6363636334710744,0.6363636334710744,0.6363635834710784,0.743315620839449,0.9619378666352613,0.772727269214876
HaruichibanNoFukukoro_091,6,7,1,4,2,3,0.6666666555555557,0.5714285632653062,0.6153845562130219,4,2,3,0.6666666555555557,0.5714285632653062,0.6153845562130219,4,2,3,0.6666666555555557,0.5714285632653062,0.6153845562130219,4,2,3,0.6666666555555557,0.5714285632653062,0.6153845562130219,4,2,3,0.6666666555555557,0.5714285632653062,0.6153845562130219,3,3,4,0.4999999916666668,0.42857142244897967,0.4615384047337333,3,3,4,0.4999999916666668,0.42857142244897967,0.4615384047337333,3,3,4,0.4999999916666668,0.42857142244897967,0.4615384047337333,3,3,4,0.4999999916666668,0.42857142244897967,0.4615384047337333,2,4,5,0.33333332777777785,0.2857142816326531,0.307692253254446,0.5570924323446329,0.9052752164873392,0.6153846059171599
HarukaRefrain_048,10,7,3,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,6,4,1,0.5999999940000001,0.8571428448979593,0.7058822961937751,5,5,2,0.4999999950000001,0.7142857040816327,0.5882352387543291,4,6,3,0.3999999960000001,0.5714285632653062,0.470588181314884,4,6,3,0.3999999960000001,0.5714285632653062,0.470588181314884,0.661515716636816,0.9371472762607512,0.7058823446366783
HarukaRefrain_054,27,23,4,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,21,6,2,0.7777777748971193,0.9130434742911153,0.8399999469600028,20,7,3,0.7407407379972565,0.869565213610586,0.799999947120003,19,8,4,0.7037037010973937,0.8260869529300567,0.7599999472800032,19,8,4,0.7037037010973937,0.8260869529300567,0.7599999472800032,17,10,6,0.629629627297668,0.739130431568998,0.6799999476000036,0.8010817653550013,0.9536687720944386,0.83999999664
HealingPlanet_011,14,13,1,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,5,9,8,0.35714285459183676,0.38461538165680476,0.37037031769548007,4,10,9,0.2857142836734694,0.30769230532544384,0.2962962441701045,4,10,9,0.2857142836734694,0.30769230532544384,0.2962962441701045,4,10,9,0.2857142836734694,0.30769230532544384,0.2962962441701045,4,10,9,0.2857142836734694,0.30769230532544384,0.2962962441701045,0.35026566118605956,0.945717292207674,0.3703703676268862
HealingPlanet_026,10,12,2,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,5,5,7,0.4999999950000001,0.4166666631944445,0.4545454008264518,4,6,8,0.3999999960000001,0.3333333305555556,0.3636363107438084,3,7,9,0.2999999970000001,0.2499999979166667,0.2727272206611661,3,7,9,0.2999999970000001,0.2499999979166667,0.2727272206611661,0.418639052870531,0.9210059246879492,0.4545454504132232
HealingPlanet_047,18,13,5,9,9,4,0.4999999972222222,0.6923076869822486,0.5806451088449572,9,9,4,0.4999999972222222,0.6923076869822486,0.5806451088449572,9,9,4,0.4999999972222222,0.6923076869822486,0.5806451088449572,8,10,5,0.44444444197530864,0.6153846106508877,0.5161289802289327,8,10,5,0.44444444197530864,0.6153846106508877,0.5161289802289327,8,10,5,0.44444444197530864,0.6153846106508877,0.5161289802289327,8,10,5,0.44444444197530864,0.6153846106508877,0.5161289802289327,7,11,6,0.38888888672839506,0.5384615343195267,0.4516128516129085,7,11,6,0.38888888672839506,0.5384615343195267,0.4516128516129085,6,12,7,0.3333333314814815,0.46153845798816573,0.3870967229968844,0.5310748349696833,0.9146288883486194,0.5806451575442249
